symptomes,medicament
"j'ai de la fièvre à 38.5 et des maux de tête",Paracétamol 500mg
"j'ai mal à la tête depuis ce matin",Paracétamol 500mg
"j'ai de la fièvre depuis 2 jours",Paracétamol 500mg
"j'ai de la fièvre et des courbatures",Paracétamol 500mg
"j'ai chaud et j'ai mal à la tête",Paracétamol 500mg
"température élevée et fatigue",Paracétamol 500mg
"céphalée et hyperthermie légère",Paracétamol 500mg
"mal de tête avec fièvre modérée",Paracétamol 500mg
"douleur tête côté gauche",Paracétamol 500mg
"migraine légère sans nausées",Paracétamol 500mg
"j'ai de la fièvre avec inflammation",Ibuprofène 400mg
"douleur musculaire après sport",Ibuprofène 400mg
"j'ai mal aux muscles et inflammation",Ibuprofène 400mg
"règles douloureuses et inflammation",Ibuprofène 400mg
"tendinite genou douleur inflammatoire",Ibuprofène 400mg
"arthrite légère douleur articulaire",Ibuprofène 400mg
"entorse cheville inflammation",Ibuprofène 400mg
"douleur et gonflement articulation",Ibuprofène 400mg
"fièvre avec douleur inflammatoire",Ibuprofène 400mg
"mal aux dents inflammation gencive",Ibuprofène 400mg
"infection gorge angine bactérienne",Amoxicilline 500mg
"otite douleur oreille infection",Amoxicilline 500mg
"sinusite chronique infection bactérienne",Amoxicilline 500mg
"bronchite bactérienne fièvre",Amoxicilline 500mg
"infection cutanée bactérienne",Amoxicilline 500mg
"angine blanche gorge rouge",Amoxicilline 500mg
"otite purulente enfant",Amoxicilline 500mg
"infection dentaire bactérienne",Amoxicilline 500mg
"pneumonie légère fièvre",Amoxicilline 500mg
"infection respiratoire basse",Amoxicilline 500mg
"brûlures estomac après repas",Oméprazole 20mg
"reflux gastrique acidité",Oméprazole 20mg
"j'ai de l'acidité et ça brûle",Oméprazole 20mg
"douleur épigastrique après manger",Oméprazole 20mg
"gastrite chronique brûlures",Oméprazole 20mg
"remontées acides nuit",Oméprazole 20mg
"RGO reflux oesophagien",Oméprazole 20mg
"estomac qui brûle en permanence",Oméprazole 20mg
"acidité gastrique douloureuse",Oméprazole 20mg
"brûlures après café alcool",Oméprazole 20mg
"allergie rhinite éternuements",Cétirizine 10mg
"j'éternue tout le temps allergie",Cétirizine 10mg
"yeux qui coulent allergie printemps",Cétirizine 10mg
"urticaire démangeaisons allergie",Cétirizine 10mg
"nez qui coule allergie poussière",Cétirizine 10mg
"rhinite allergique saisonnière",Cétirizine 10mg
"démangeaisons peau allergie",Cétirizine 10mg
"allergie chats éternuements",Cétirizine 10mg
"yeux rouges qui piquent allergie",Cétirizine 10mg
"congestion nasale allergie",Cétirizine 10mg
"nausées vomissements matin",Dompéridone 10mg
"j'ai envie de vomir",Dompéridone 10mg
"digestion lente ballonnements",Dompéridone 10mg
"vomissements après repas",Dompéridone 10mg
"nausées médicamenteuses",Dompéridone 10mg
"mal au coeur nausées",Dompéridone 10mg
"estomac lourd difficile à digérer",Dompéridone 10mg
"nausées grossesse matinales",Dompéridone 10mg
"vomissements répétés sans fièvre",Dompéridone 10mg
"nausées traitement chimio",Dompéridone 10mg
"diarrhée aiguë gastroentérite",Smecta 3g
"selles molles plusieurs fois par jour",Smecta 3g
"gastroentérite virale diarrhée",Smecta 3g
"diarrhée après antibiotiques",Smecta 3g
"transit accéléré selles liquides",Smecta 3g
"colite diarrhée douleur",Smecta 3g
"diarrhée voyage tourista",Smecta 3g
"selles molles fréquentes",Smecta 3g
"diarrhée enfant gastro",Smecta 3g
"intestin irrité diarrhée",Smecta 3g
"crampes abdominales spasmes",Spasfon 80mg
"colon irritable douleur spasmodique",Spasfon 80mg
"spasme digestif douleur ventre",Spasfon 80mg
"coliques intestinales crampes",Spasfon 80mg
"douleur gynécologique crampes",Spasfon 80mg
"ventre qui se contracte crampes",Spasfon 80mg
"spasme intestinal douloureux",Spasfon 80mg
"douleur abdominale spasmodique",Spasfon 80mg
"crampes menstruelles douloureuses",Spasfon 80mg
"transit douloureux crampes",Spasfon 80mg
"toux grasse mucosités épaisses",Bromhexine 8mg
"bronchite toux productive",Bromhexine 8mg
"encombrement bronchique toux",Bromhexine 8mg
"toux avec glaires difficile",Bromhexine 8mg
"mucosités qui ne sortent pas",Bromhexine 8mg
"toux grasse enfant",Bromhexine 8mg
"sécrétions bronchiques épaisses",Bromhexine 8mg
"toux productive matin",Bromhexine 8mg
"bronchite chronique mucosités",Bromhexine 8mg
"toux avec expectorations difficiles",Bromhexine 8mg
"infection urinaire brûlures",Fosfomycine 3g
"cystite brûlures en urinant",Fosfomycine 3g
"envie fréquente uriner brûlures",Fosfomycine 3g
"pipi qui brûle infection",Fosfomycine 3g
"cystite aiguë femme",Fosfomycine 3g
"infection urinaire basse",Fosfomycine 3g
"brûlures miction fréquente",Fosfomycine 3g
"douleur en urinant infection",Fosfomycine 3g
"infection urinaire récidivante",Fosfomycine 3g
"cystite douloureuse urgences miction",Fosfomycine 3g
